ind	p0	p132	p265	p397	p530
346	0.2999	1.3938	4.047	8.9365	14.4663
347	0.4265	1.9578	6.6809	15.9458	27.3269
348	0.4991	2.0284	6.0664	13.7166	22.7103
349	0.1739	1.2515	4.4695	11.0793	18.7735
350	0.3712	1.8365	5.9575	14.4277	23.8408
351	0.2727	1.3336	3.9884	8.7238	14.138
352	1.1542	3.7294	9.8721	20.2459	32.292
353	0.3175	1.7614	5.678	13.824	22.7556
354	0.1726	1.2156	4.464	11.2814	19.679
355	0.6935	2.8703	8.4873	19.1791	30.8544
356	0.5498	2.3433	7.2887	17.2022	28.4123
357	0.7276	2.5778	7.4177	16.2656	25.7423
358	0.5879	2.3876	7.0633	17.2328	28.7312
359	0.4806	2.339	7.7452	18.9444	31.8284
360	0.481	2.2166	7.087	17.0398	27.9577
361	0.2769	1.66	5.6707	14.9897	25.8092
362	0.7281	2.6245	7.3139	16.0735	26.359
363	0.3418	1.6791	5.6198	13.568	22.6985
364	0.3764	1.7024	5.2701	12.5866	21.5353
365	0.5849	2.1908	6.2308	13.3812	21.5758
386	0.5944	2.2503	6.6202	14.7805	25.443
387	0.1388	1.1776	4.2818	10.5983	18.0908
388	0.4891	1.9541	5.5579	12.0764	19.7212
389	0.2953	1.521	5.0131	11.6771	18.9202
390	0.1775	1.1619	3.7293	8.9763	14.8379
391	0.3479	1.837	5.8778	14.3301	23.6787
392	0.6691	2.5292	7.2726	16.2013	26.063
393	0.4415	1.9679	6.3203	14.7826	24.478
394	0.7571	2.8494	8.2399	18.1379	28.684
395	0.5431	2.4314	7.8834	19.2413	32.3032
396	0.4594	1.9828	5.7703	13.3646	21.3876
397	0.0219	0.7606	2.995	7.7202	13.172
398	0.8004	2.9706	8.4139	18.1704	28.6206
399	0.4322	1.7193	4.8347	10.4625	16.4785
400	0.5249	2.1013	5.9717	13.3864	21.5876
401	1.1252	3.7199	9.7107	19.8248	30.2156
402	0.2295	1.323	4.4387	10.8683	19.5173
403	0.3674	1.6523	5.071	11.3296	18.2297
404	0.5588	2.2272	6.5315	14.6153	23.5236
405	0.7219	2.4907	6.7085	14.2101	21.8815
426	1.1498	3.3652	8.4472	16.6534	25.0456
427	1.3301	3.9192	9.5778	19.7154	30.8244
428	0.8597	3.1859	9.1553	21.3378	34.1622
429	0.8812	2.8296	7.2226	14.904	22.6507
430	0.8275	2.9724	8.4594	19.2831	30.5014
431	1.1661	3.7361	9.9131	20.15	32.0829
432	0.5798	2.204	6.3879	13.9391	22.9044
433	0.819	2.7707	7.3286	15.1401	24.4201
434	1.1997	3.7907	10.3781	22.0168	35.4388
435	1.4145	4.6197	12.5441	27.7365	45.3643
436	0.5107	2.0688	5.8644	12.8834	20.766
437	1.3836	4.3388	11.6313	24.9308	39.4143
438	0.5507	1.9158	5.0546	10.3038	16.1125
439	1.2418	4.0831	11.2539	24.4491	40.6348
440	1.0093	3.1751	7.9368	15.8569	25.465
441	0.8768	2.9968	8.5051	18.1332	29.2853
442	1.3359	4.1617	11.092	22.9699	36.0519
443	1.6945	4.8975	12.109	24.2782	37.8399
444	0.8804	3.1396	9.0652	20.1683	32.6831
445	0.9058	3.1274	8.5964	18.3833	30.9959
466	1.2838	3.9655	10.7078	22.3126	35.2365
467	0.8226	2.755	7.2676	14.9813	23.7345
468	0.3671	1.5731	4.3582	9.3121	14.6934
469	0.4102	1.6358	4.2112	8.8616	14.0366
470	0.7619	2.6274	7.1774	15.0809	23.1255
471	0.5821	2.159	6.2719	13.2412	21.2269
472	0.4622	1.7292	4.6173	9.3928	14.8694
473	0.8185	2.765	7.6443	16.4871	26.4702
474	1.0659	3.4814	9.6585	20.3685	32.5718
475	1.0567	3.0309	7.4514	14.9919	23.1644
476	0.9533	3.2435	9.0329	19.0203	31.1589
477	0.7344	2.6098	7.1565	15.1021	24.8272
478	0.9223	2.9792	8.2378	17.2121	27.4187
479	0.5361	2.0218	5.895	13.1874	21.1585
480	1.0546	3.266	8.479	17.572	27.5369
481	0.5605	2.1324	5.9166	12.7022	19.8814
482	1.9535	5.4962	13.0892	24.7997	37.2905
483	1.2812	3.8251	9.6057	19.2236	30.0199
484	1.4718	4.5713	11.8343	24.1003	37.3987
485	0.932	3.2954	9.0166	19.1714	30.8334
506	0.761	2.5948	6.8662	14.221	22.4463
507	1.2714	4.0552	10.3321	21.6516	33.4012
508	1.0455	3.5675	9.5048	19.9493	31.0994
509	0.6225	2.178	5.6678	11.9205	18.6712
510	0.9988	3.0978	7.9673	16.2682	25.0853
511	1.1014	3.556	9.1952	19.3082	29.4838
512	1.5585	4.7577	12.5801	25.9908	40.3727
513	0.5771	2.2682	6.5162	14.3678	23.4452
514	1.0605	3.3648	8.6905	18.227	28.041
515	1.3206	4.0969	10.5659	21.7015	35.0687
516	1.3956	4.2114	10.473	21.3665	32.7456
517	0.7162	2.55	7.0211	15.0938	23.7132
518	0.8706	3.0503	8.3424	17.3143	28.3801
519	0.6448	2.2663	6.1569	12.8993	20.7824
520	0.3874	1.6976	5.1345	11.4814	18.2748
521	1.8167	5.1806	12.9563	26.5456	41.2347
522	0.9482	3.2456	8.8902	18.7923	30.6111
523	0.789	2.7949	7.9492	16.964	26.8795
524	0.8492	2.8491	7.7897	16.2502	26.2478
525	0.6519	2.4697	7.0082	15.277	24.9709
546	0.6239	2.4287	7.2081	16.3714	27.503
547	0.6871	2.6436	7.5775	17.0641	27.7235
548	1.156	3.7685	10.144	21.1105	33.787
549	0.8578	2.9016	7.9556	16.5974	25.6478
550	0.5371	2.2044	6.5541	14.8558	24.2424
551	0.5597	2.2223	6.4976	14.6225	23.1226
552	0.4418	2.0145	6.5544	15.4927	26.6258
553	0.5807	2.2648	6.6717	14.623	23.2155
554	1.1636	3.6833	9.2421	18.644	28.9775
555	0.5208	2.1136	6.2468	14.0803	21.9383
556	1.1053	3.8542	10.7843	22.6689	36.8861
557	1.0233	3.387	8.812	18.3141	28.4045
558	0.8817	2.9804	8.3352	18.3534	29.9373
559	0.5438	2.244	6.4926	14.4679	23.5803
560	0.6061	2.354	7.0987	15.7037	26.0597
561	0.6069	2.3942	7.2466	16.3178	26.313
562	0.8721	2.9713	8.2365	17.5457	27.3856
563	0.7947	2.8189	7.8076	16.5083	26.6114
564	0.7321	2.8159	8.3047	18.517	29.5906
565	0.3861	1.9276	6.456	15.1386	24.9326
586	0.3789	1.8	5.5876	12.7965	20.9649
587	1.0602	3.1985	7.928	14.9554	22.3981
588	0.6132	2.4906	7.6463	17.4874	28.6908
589	0.3188	1.8113	6.5203	16.4576	27.8983
590	1.1086	3.8094	10.5009	22.909	37.3028
591	0.7458	2.9151	8.9646	20.57	34.2778
592	0.5051	2.0841	6.0864	13.8376	22.7782
593	0.4642	1.9153	5.5265	11.8263	18.7913
594	1.0001	3.211	8.2829	16.809	25.4092
595	0.7251	2.8203	7.991	17.9543	28.72
596	0.5262	2.255	6.7007	15.7953	25.5253
597	1.3714	3.9453	9.7939	19.4234	29.5377
598	0.7175	2.8114	8.2391	18.5223	30.3686
599	0.4184	1.7944	5.4081	12.0857	18.8219
600	1.0007	3.3416	8.5649	18.2751	28.2578
601	0.6086	2.3605	6.7329	14.9552	24.6987
602	1.1638	3.6133	8.8875	18.2518	27.5524
603	0.8593	2.9457	8.0668	17.0249	26.082
604	0.9377	3.3359	9.2963	20.1597	31.8576
605	0.6386	2.4135	6.94	15.1854	24.2964
626	1.1469	3.5353	8.9099	17.8731	28.7036
627	0.6195	2.314	6.5165	14.2978	22.3446
628	0.7363	2.6252	7.4966	15.8126	25.544
629	0.7614	2.6554	7.3455	16.0068	25.5969
630	0.906	2.9641	7.9706	16.4317	26.4702
631	1.3675	4.0146	9.7195	20.2545	31.9679
632	0.07	0.7326	2.4224	5.7633	9.8973
633	0.5469	2.1202	5.9884	13.458	21.4657
634	0.8602	3.0136	8.0964	16.7761	26.7316
635	1.4442	4.7137	13.1547	26.9757	44.4993
636	0.8254	3.0579	8.994	20.0189	32.4527
637	0.9441	3.1802	8.3388	17.0369	27.2415
638	0.348	1.7167	5.6674	13.8526	24.1823
639	0.512	2.0071	5.5343	11.8028	18.5794
640	0.9442	3.0577	8.0016	16.7216	26.4555
641	1.2464	3.721	9.62	20.1452	31.0572
642	0.5434	2.1518	6.075	13.4238	22.3329
643	0.2821	1.3469	4.208	9.422	15.5243
644	0.5067	2.3821	7.7261	18.5956	32.1209
645	1.1767	3.7105	9.4243	19.5941	29.7715
666	0.7134	2.7313	7.3763	16.3119	26.8267
667	0.7612	2.7878	7.6068	16.6705	26.8388
668	0.8954	3.1679	8.8698	18.7026	29.291
669	0.4635	1.9092	5.505	12.5057	20.8936
670	0.646	2.4212	6.861	14.5647	23.4865
671	0.1435	1.0388	3.4559	8.1364	13.3317
672	0.4304	1.9395	5.5856	12.5362	20.1405
673	0.4223	1.7682	5.1447	11.4924	18.2468
674	0.4333	1.7408	4.9239	10.5662	16.8373
675	0.5017	1.9062	5.3626	11.6939	17.8684
676	0.908	3.1216	8.7639	18.1938	27.7793
677	0.1222	0.9438	3.0674	7.2446	12.2746
