locus	marker	chrom	pos
all_0.0162	m1	1	0.0162
all_0.0337	m2	1	0.0337
all_0.0403	m3	1	0.0403
all_0.0616	m4	1	0.0616
all_0.0619	m5	1	0.0619
all_0.0746	m6	1	0.0746
all_0.0788	m7	1	0.0788
all_0.0991	m8	1	0.0991
all_0.1034	m9	1	0.1034
all_0.1276	m10	1	0.1276
all_0.1376	m11	1	0.1376
all_0.1388	m12	1	0.1388
all_0.1427	m13	1	0.1427
all_0.1568	m14	1	0.1568
all_0.1636	m15	1	0.1636
all_0.1653	m16	1	0.1653
all_0.1774	m17	1	0.1774
all_0.1838	m18	1	0.1838
all_0.1882	m19	1	0.1882
all_0.1977	m20	1	0.1977
all_0.2326	m21	1	0.2326
all_0.2424	m22	1	0.2424
all_0.2461	m23	1	0.2461
all_0.249	m24	1	0.249
all_0.2553	m25	1	0.2553
all_0.284	m26	1	0.284
all_0.3377	m27	1	0.3377
all_0.341	m28	1	0.341
all_0.3429	m29	1	0.3429
all_0.367	m30	1	0.367
all_0.3758	m31	1	0.3758
all_0.3857	m32	1	0.3857
all_0.3902	m33	1	0.3902
all_0.397	m34	1	0.397
all_0.4029	m35	1	0.4029
all_0.4153	m36	1	0.4153
all_0.4447	m37	1	0.4447
all_0.4472	m38	1	0.4472
all_0.4492	m39	1	0.4492
all_0.4561	m40	1	0.4561
all_0.4614	m41	1	0.4614
all_0.4738	m42	1	0.4738
all_0.4801	m43	1	0.4801
all_0.4831	m44	1	0.4831
all_0.4896	m45	1	0.4896
all_0.5241	m46	1	0.5241
all_0.5309	m47	1	0.5309
all_0.5317	m48	1	0.5317
all_0.5365	m49	1	0.5365
all_0.5381	m50	1	0.5381
all_0.5385	m51	1	0.5385
all_0.5613	m52	1	0.5613
all_0.5662	m53	1	0.5662
all_0.5664	m54	1	0.5664
all_0.5772	m55	1	0.5772
all_0.5782	m56	1	0.5782
all_0.588	m57	1	0.588
all_0.5904	m58	1	0.5904
all_0.5923	m59	1	0.5923
all_0.5976	m60	1	0.5976
all_0.6008	m61	1	0.6008
all_0.6029	m62	1	0.6029
all_0.6044	m63	1	0.6044
all_0.6062	m64	1	0.6062
all_0.6103	m65	1	0.6103
all_0.6223	m66	1	0.6223
all_0.6247	m67	1	0.6247
all_0.6499	m68	1	0.6499
all_0.6734	m69	1	0.6734
all_0.6775	m70	1	0.6775
all_0.7457	m71	1	0.7457
all_0.759	m72	1	0.759
all_0.7935	m73	1	0.7935
all_0.8175	m74	1	0.8175
all_0.821	m75	1	0.821
all_0.8375	m76	1	0.8375
all_0.8587	m77	1	0.8587
all_0.8781	m78	1	0.8781
all_0.9072	m79	1	0.9072
all_0.9117	m80	1	0.9117
all_0.9137	m81	1	0.9137
all_0.9139	m82	1	0.9139
all_0.922	m83	1	0.922
all_0.9326	m84	1	0.9326
all_0.9607	m85	1	0.9607
all_0.98	m86	1	0.98
all_0.9839	m87	1	0.9839
all_0.9952	m88	1	0.9952
all_0.9984	m89	1	0.9984
all_0.9997	m90	1	0.9997
all_1.007	m91	2	0.007
all_1.0142	m92	2	0.0142
all_1.0145	m93	2	0.0145
all_1.0159	m94	2	0.0159
all_1.0188	m95	2	0.0188
all_1.0234	m96	2	0.0234
all_1.0243	m97	2	0.0243
all_1.0359	m98	2	0.0359
all_1.0516	m99	2	0.0516
all_1.0569	m100	2	0.0569
all_1.0762	m101	2	0.0762
all_1.0835	m102	2	0.0835
all_1.0972	m103	2	0.0972
all_1.0977	m104	2	0.0977
all_1.1233	m105	2	0.1233
all_1.1439	m106	2	0.1439
all_1.1536	m107	2	0.1536
all_1.1864	m108	2	0.1864
all_1.1883	m109	2	0.1883
all_1.2145	m110	2	0.2145
all_1.2349	m111	2	0.2349
all_1.2401	m112	2	0.2401
all_1.2486	m113	2	0.2486
all_1.2541	m114	2	0.2541
all_1.2566	m115	2	0.2566
all_1.2711	m116	2	0.2711
all_1.2725	m117	2	0.2725
all_1.3058	m118	2	0.3058
all_1.3438	m119	2	0.3438
all_1.3448	m120	2	0.3448
all_1.3481	m121	2	0.3481
all_1.3594	m122	2	0.3594
all_1.3613	m123	2	0.3613
all_1.3789	m124	2	0.3789
all_1.3803	m125	2	0.3803
all_1.3855	m126	2	0.3855
all_1.3988	m127	2	0.3988
all_1.4095	m128	2	0.4095
all_1.4149	m129	2	0.4149
all_1.4241	m130	2	0.4241
all_1.4341	m131	2	0.4341
all_1.4368	m132	2	0.4368
all_1.4412	m133	2	0.4412
all_1.4743	m134	2	0.4743
all_1.4753	m135	2	0.4753
all_1.4805	m136	2	0.4805
all_1.4829	m137	2	0.4829
all_1.4852	m138	2	0.4852
all_1.5043	m139	2	0.5043
all_1.5242	m140	2	0.5242
all_1.5291	m141	2	0.5291
all_1.5364	m142	2	0.5364
all_1.5406	m143	2	0.5406
all_1.5419	m144	2	0.5419
all_1.5448	m145	2	0.5448
all_1.5496	m146	2	0.5496
all_1.5542	m147	2	0.5542
all_1.5558	m148	2	0.5558
all_1.56	m149	2	0.56
all_1.575	m150	2	0.575
all_1.5956	m151	2	0.5956
all_1.5975	m152	2	0.5975
all_1.601	m153	2	0.601
all_1.6548	m154	2	0.6548
all_1.6593	m155	2	0.6593
all_1.7053	m156	2	0.7053
all_1.7094	m157	2	0.7094
all_1.7131	m158	2	0.7131
all_1.715	m159	2	0.715
all_1.7223	m160	2	0.7223
all_1.7293	m161	2	0.7293
all_1.7328	m162	2	0.7328
all_1.7516	m163	2	0.7516
all_1.7768	m164	2	0.7768
all_1.7787	m165	2	0.7787
all_1.7838	m166	2	0.7838
all_1.785	m167	2	0.785
all_1.837	m168	2	0.837
all_1.8439	m169	2	0.8439
all_1.849	m170	2	0.849
all_1.8537	m171	2	0.8537
all_1.8558	m172	2	0.8558
all_1.8574	m173	2	0.8574
all_1.8834	m174	2	0.8834
all_1.8911	m175	2	0.8911
all_1.8913	m176	2	0.8913
all_1.8953	m177	2	0.8953
all_1.9011	m178	2	0.9011
all_1.9138	m179	2	0.9138
all_1.9392	m180	2	0.9392
all_1.9416	m181	2	0.9416
all_1.942	m182	2	0.942
all_1.9632	m183	2	0.9632
all_1.9633	m184	2	0.9633
all_1.9678	m185	2	0.9678
all_1.977	m186	2	0.977
all_1.9784	m187	2	0.9784
all_1.9804	m188	2	0.9804
all_1.9868	m189	2	0.9868
all_2.0128	m190	3	0.0128
all_2.0139	m191	3	0.0139
all_2.0247	m192	3	0.0247
all_2.0307	m193	3	0.0307
all_2.0316	m194	3	0.0316
all_2.0328	m195	3	0.0328
all_2.0371	m196	3	0.0371
all_2.0378	m197	3	0.0378
all_2.0426	m198	3	0.0426
all_2.065	m199	3	0.065
all_2.0758	m200	3	0.0758
all_2.092	m201	3	0.092
all_2.0973	m202	3	0.0973
all_2.1115	m203	3	0.1115
all_2.1306	m204	3	0.1306
all_2.1488	m205	3	0.1488
all_2.1531	m206	3	0.1531
all_2.1541	m207	3	0.1541
all_2.1555	m208	3	0.1555
all_2.1755	m209	3	0.1755
all_2.1795	m210	3	0.1795
all_2.1971	m211	3	0.1971
all_2.2197	m212	3	0.2197
all_2.2263	m213	3	0.2263
all_2.2337	m214	3	0.2337
all_2.2356	m215	3	0.2356
all_2.2515	m216	3	0.2515
all_2.2689	m217	3	0.2689
all_2.2707	m218	3	0.2707
all_2.2809	m219	3	0.2809
all_2.3022	m220	3	0.3022
all_2.3063	m221	3	0.3063
all_2.3108	m222	3	0.3108
all_2.318	m223	3	0.318
all_2.3355	m224	3	0.3355
all_2.3375	m225	3	0.3375
all_2.3461	m226	3	0.3461
all_2.3612	m227	3	0.3612
all_2.3722	m228	3	0.3722
all_2.3857	m229	3	0.3857
all_2.3874	m230	3	0.3874
all_2.393	m231	3	0.393
all_2.4005	m232	3	0.4005
all_2.4101	m233	3	0.4101
all_2.4312	m234	3	0.4312
all_2.4399	m235	3	0.4399
all_2.4607	m236	3	0.4607
all_2.463	m237	3	0.463
all_2.5001	m238	3	0.5001
all_2.508	m239	3	0.508
all_2.5252	m240	3	0.5252
all_2.5326	m241	3	0.5326
all_2.5328	m242	3	0.5328
all_2.559	m243	3	0.559
all_2.5672	m244	3	0.5672
all_2.5961	m245	3	0.5961
all_2.607	m246	3	0.607
all_2.6097	m247	3	0.6097
all_2.6222	m248	3	0.6222
all_2.6274	m249	3	0.6274
all_2.6277	m250	3	0.6277
all_2.6331	m251	3	0.6331
all_2.6343	m252	3	0.6343
all_2.6415	m253	3	0.6415
all_2.6467	m254	3	0.6467
all_2.653	m255	3	0.653
all_2.6872	m256	3	0.6872
all_2.7048	m257	3	0.7048
all_2.7249	m258	3	0.7249
all_2.7273	m259	3	0.7273
all_2.7307	m260	3	0.7307
all_2.735	m261	3	0.735
all_2.7556	m262	3	0.7556
all_2.7571	m263	3	0.7571
all_2.7598	m264	3	0.7598
all_2.7903	m265	3	0.7903
all_2.7926	m266	3	0.7926
all_2.7931	m267	3	0.7931
all_2.8009	m268	3	0.8009
all_2.8072	m269	3	0.8072
all_2.8203	m270	3	0.8203
all_2.8509	m271	3	0.8509
all_2.8526	m272	3	0.8526
all_2.8583	m273	3	0.8583
all_2.8759	m274	3	0.8759
all_2.8777	m275	3	0.8777
all_2.8962	m276	3	0.8962
all_2.9034	m277	3	0.9034
all_2.9602	m278	3	0.9602
all_2.9697	m279	3	0.9697
all_2.9724	m280	3	0.9724
all_2.9771	m281	3	0.9771
all_2.9842	m282	3	0.9842
all_2.993	m283	3	0.993
all_2.9957	m284	3	0.9957
all_2.9971	m285	3	0.9971
all_3.0128	m286	4	0.0128
all_3.0411	m287	4	0.0411
all_3.048	m288	4	0.048
all_3.0721	m289	4	0.0721
all_3.0813	m290	4	0.0813
all_3.0827	m291	4	0.0827
all_3.0929	m292	4	0.0929
all_3.0943	m293	4	0.0943
all_3.1067	m294	4	0.1067
all_3.1391	m295	4	0.1391
all_3.1467	m296	4	0.1467
all_3.152	m297	4	0.152
all_3.1647	m298	4	0.1647
all_3.1652	m299	4	0.1652
all_3.1893	m300	4	0.1893
all_3.2109	m301	4	0.2109
all_3.2134	m302	4	0.2134
all_3.2166	m303	4	0.2166
all_3.238	m304	4	0.238
all_3.24	m305	4	0.24
all_3.2449	m306	4	0.2449
all_3.2805	m307	4	0.2805
all_3.3059	m308	4	0.3059
all_3.3124	m309	4	0.3124
all_3.3126	m310	4	0.3126
all_3.3133	m311	4	0.3133
all_3.3141	m312	4	0.3141
all_3.3178	m313	4	0.3178
all_3.3746	m314	4	0.3746
all_3.3881	m315	4	0.3881
all_3.3964	m316	4	0.3964
all_3.401	m317	4	0.401
all_3.4125	m318	4	0.4125
all_3.4204	m319	4	0.4204
